mse,rmse,ndcg@10,precision@10,recall@10,f1@10,custom_embedding_dim,random_embedding_dim,custom_dropout_rate,random_dropout_rate,custom_learning_rate,random_learning_rate,fc_dropout_rate,fc_learning_rate,batch_size,num_epochs
0.7282043,0.85334885,0.9768228023497078,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.3,0.0,0.001,0.001,0.3,0.001,512,40
0.6624953,0.81393814,0.9755473896348019,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.0,0.0,0.001,0.001,0.0,0.001,128,20
0.6490949,0.80566424,0.981434845314293,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.0,0.0,0.001,0.001,0.0,0.001,128,40
0.80616957,0.89786947,0.978935853333444,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.0,0.0,0.001,0.001,0.0,0.001,512,20
0.6682147,0.81744397,0.9769837199665579,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.0,0.0,0.001,0.001,0.0,0.001,512,40
0.6630552,0.814282,0.9795601099146792,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.0,0.0,0.001,0.001,0.3,0.001,128,20
0.69335693,0.8326806,0.9775570543153268,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.0,0.0,0.001,0.001,0.3,0.001,128,40
0.6543722,0.8089328,0.979341840498588,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.0,0.0,0.001,0.001,0.3,0.001,512,20
0.78029287,0.88334185,0.9772324780746398,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.0,0.0,0.001,0.001,0.3,0.001,512,40
0.7306067,0.85475534,0.9785094163509472,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.3,0.0,0.001,0.001,0.0,0.001,128,20
0.62457526,0.7903007,0.978814727358823,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.3,0.0,0.001,0.001,0.0,0.001,128,40
0.7118438,0.84370834,0.9782643585568437,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.3,0.0,0.001,0.001,0.0,0.001,512,20
